URLs,Price,#Ratings
https://www.amazon.co.uk/Lightning-Connector-Headphones-Certified-Isolating-1pc/product-reviews/B09TR61Q26/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,9,877 ratings
https://www.amazon.co.uk/JBL-Tune-230NC-Ear-Headphones-Black/product-reviews/B09HGR1DVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,49,"8,255 ratings"
https://www.amazon.co.uk/Isolating-Earbuds-Earphones-Headphones-Compatible-White-Xet/product-reviews/B0BTYFGHB2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,"11,315 ratings"
https://www.amazon.co.uk/Snuggly-Rascals-Headband-Headphones-Ultra-Comfortable-Monster/product-reviews/B07CGX3FP8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,6,"1,029 ratings"
https://www.amazon.co.uk/Ymdei-Earphones-headphones-microphone-Compatible-ETYH-LT1/product-reviews/B0BRV3LCWK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,"2,618 ratings"
https://www.amazon.co.uk/Senlee-Earbuds-Monitor-Earphone-Detachable-Silver/product-reviews/B08B4DZN4B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,21,10 ratings
https://www.amazon.co.uk/Sony-WI-C310-Bluetooth-Wireless-Headphones-Blue/product-reviews/B07QXSV2GP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,24,"1,880 ratings"
https://www.amazon.co.uk/UGREEN-Headphones-Earphones-Microphone-Compatible/product-reviews/B08TQKNC62/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,12,"1,668 ratings"
https://www.amazon.co.uk/CASCHO-Headphones-Indicator-Bluetooth-Waterproof-Black/product-reviews/B0BLJXPRL9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,24,"1,114 ratings"
https://www.amazon.co.uk/OIIAEE-Earphones-Microphone-Lightweight-Headphones-White/product-reviews/B0BKFZFT5R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,207 ratings
https://www.amazon.co.uk/Ludos-FEROX-Headphones-Microphone-Videoconference-White/product-reviews/B0BM4HGSFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,536 ratings
https://www.amazon.co.uk/Bluetooth-Headphones-Earphones-Cancelling-Waterproof-Dark-Black/product-reviews/B0BG5MKFY8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,17,"3,785 ratings"
https://www.amazon.co.uk/JBL-Tune-510BT-Ear-Headphones-Black/product-reviews/B08WM3LMJF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,45,"20,614 ratings"
https://www.amazon.co.uk/Guguearth-Lightning-Headphones-Earphones-Compatible/product-reviews/B09C3J6VV4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,17,"1,197 ratings"
https://www.amazon.co.uk/Belkin-SoundForm-Headphones-Microphone-Compatible-Pink/product-reviews/B08ZS9KTV6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,26,305 ratings
https://www.amazon.co.uk/Bluetooth-Headphones-Earphones-Microphone-Waterproof-Black/product-reviews/B0B38L9LZ2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,693 ratings
https://www.amazon.co.uk/TOZO-T10-Bluetooth-Headphones-Waterproof-white/product-reviews/B07RP6NF5J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,22,"323,927 ratings"
https://www.amazon.co.uk/Betron-Bluetooth-Headphones-Wireless-Microphone-Black/product-reviews/B01M8FLGB2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,27,"5,725 ratings"
https://www.amazon.co.uk/Headphones-Wireless-Bluetooth-Foldable-Microphone-purple/product-reviews/B08R62WZ1Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,19,"1,585 ratings"
https://www.amazon.co.uk/Bluetooth-Headphones-Earphones-Waterproof-Cancelling-White/product-reviews/B0BHNZ635C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,19,"1,971 ratings"
